,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,diff_cvap_turnout_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,combined_cvap_turnout_2016
1835,BECKER//MN,0.193113110161,13562.0,18.644324297,3.54423,10.6,4.0,86.8428993904,58.159124989,27005.0,27005.0,1,33.1889994149,14.5446751179,69.696528
1836,CLEBURNE//AR,0.193167273801,10157.0,9.27874070326,2.994138,15.7,4.8,95.0799268795,45.7756563246,5023.0,5023.0,1,61.4388368984,52.1600961951,59.819126
1837,CRAIG//VA,0.193315266486,2214.0,22.6021279901,2.961892,11.4,4.6,95.9708365311,41.1535463757,51045.0,51045.0,1,57.3994252874,34.7972972973,67.10158
1838,FAUQUIER//VA,0.193727484637,23595.0,4.65788153463,0.195581,9.3,3.2,81.142255755,62.7475355492,51061.0,51061.0,1,24.6471285422,19.9892470076,73.051721
1839,FAYETTE//AL,0.194116811141,7037.0,11.7634079807,3.497333,9.5,6.4,85.3042140152,38.7626262626,1057.0,1057.0,1,65.2391410444,53.4757330637,63.780773
1840,HURON//MI,0.194277435712,13805.0,23.4180604839,3.664386,9.7,3.8,95.7200371632,43.5469561911,26063.0,26063.0,1,38.1751640586,14.7571035747,63.828331
1841,ABBEVILLE//SC,0.194400919252,9573.0,14.8668436933,0.386309,12.6,4.2,68.9242709125,40.6022540502,45001.0,45001.0,1,28.254382693,13.3875389997,55.671459
1842,PENDER//NC,0.194585196225,20130.0,9.96393449129,2.138644,16.1,5.1,74.2468186927,54.4586565654,37141.0,37141.0,1,30.404107565,20.4401730737,62.037295
1843,DAVIDSON//NC,0.194590895659,64299.0,8.43146984426,2.986747,13.4,4.7,81.3293707702,48.7078919071,37057.0,37057.0,1,49.3549775735,40.9235077292,62.125325
1844,NAVAJO//AZ,0.194819654839,34129.0,-0.464087201888,1.421029,17.8,7.3,42.5819276213,51.9818344253,4017.0,4017.0,1,7.91606653676,8.38015373864,50.922573
1845,WAKE//NC,0.195039885485,364669.0,-10.2490347409,-1.406175,11.6,4.1,61.0561884553,75.1067336368,37183.0,37183.0,0,-20.5006458684,-10.2516111275,74.136662
1846,GREENE//VA,0.195049922655,7111.0,6.493104257,1.961773,14.9,2.9,84.7819199493,49.8309252997,51079.0,51079.0,1,31.7794380722,25.2863338152,67.645746
1847,MARQUETTE//WI,0.195356917246,6332.0,28.8258336965,-1.251191,8.4,4.6,94.5904887715,44.0987698342,55077.0,55077.0,1,24.369640343,-4.45619335347,66.404992
1848,FLORENCE//WI,0.195378151261,1904.0,20.0108332438,-0.001639,8.6,5.6,97.6988382484,51.9402127048,55037.0,55037.0,1,46.4353074312,26.4244741874,69.926381
1849,GRANT//OK,0.195630081301,1968.0,8.02612481858,5.747682,10.1,2.8,89.8826654859,55.0936210727,40053.0,40053.0,1,70.0,61.9738751814,65.774274
1850,CHESTER//SC,0.19563988696,12385.0,15.351349722,-0.451893,13.8,5.7,58.9660892001,42.1343981124,45023.0,45023.0,1,4.85847063794,-10.4928790841,57.247883
