,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,turnoutcvap
1499,RICHMOND CITY//VA,0.180661285885,87224.0,-8.08899083305,16.9,4.3,39.922333731,60.1549846412,51760.0,51760.0,0,-63.7494193657,-55.6604285327,0.59665859
1500,OUACHITA//LA,0.180741896343,57690.0,4.54206676783,19.3,5.5,58.7247783577,51.5200210216,22073.0,22073.0,1,25.4342741995,20.8922074317,0.59971416
1501,PIKE//PA,0.180748612363,21079.0,15.0633446415,9.3,6.0,81.7611950841,55.145496764,42103.0,42103.0,1,26.0415867413,10.9782420998,0.53580475
1502,ELMORE//AL,0.180761579002,28651.0,3.2124765619,9.4,4.7,73.6463479564,51.1753470947,1051.0,1051.0,1,51.9794065845,48.7669300226,0.58256179
1503,RICHMOND//VA,0.180869565217,2875.0,8.16751191105,9.9,3.3,61.2526421181,38.8534107402,51159.0,51159.0,1,23.7195288962,15.5520169851,0.53059638
1504,ALLEN//LA,0.180889497944,8027.0,9.8153217851,13.9,5.7,70.5258644213,35.3520571847,22003.0,22003.0,1,51.4981070849,41.6827852998,0.49072337
1505,LOS ALAMOS//NM,0.181089954038,7615.0,-16.5609286867,5.8,4.2,73.9394615084,86.155903406,35028.0,35028.0,0,-20.2684563758,-3.70752768913,0.81529701
1506,BRACKEN//KY,0.181653042688,3303.0,29.6497732959,8.0,5.0,98.409495549,39.5311949242,21023.0,21023.0,1,56.9562748438,27.306501548,0.51147813
1507,DUKES//MA,0.1817879141,6007.0,-3.95193948625,8.1,4.4,92.1281088691,70.1111633005,25007.0,25007.0,0,-51.2856393213,-47.3336998351,0.83804953
1508,TIOGA//PA,0.182048040455,16611.0,18.7845898544,10.6,6.3,96.1711285593,43.8156279831,42117.0,42117.0,1,53.5710164994,34.7864266449,0.50350899
1509,KAUFMAN//TX,0.18228019651,35418.0,2.66126290008,19.4,3.6,68.1148148487,52.1765866773,48257.0,48257.0,1,47.0289660558,44.3677031557,0.48290193
1510,REFUGIO//TX,0.182346531057,2753.0,2.30009330556,17.7,6.7,42.9572626082,44.0235008104,48391.0,48391.0,1,27.0288624788,24.7287691732,0.49743557
1511,LARUE//KY,0.182432432432,5328.0,17.5840817066,10.6,3.8,91.9428934907,39.8940505297,21123.0,21123.0,1,55.3703412486,37.786259542,0.54038769
1512,GREENSVILLE//VA,0.182730923695,3486.0,8.97962678779,9.4,4.9,37.5170068027,33.8594299989,51081.0,51081.0,0,-18.8173275269,-27.7969543147,0.54926997
1513,TRAILL//ND,0.182733374009,3278.0,21.8407904688,4.8,2.1,93.6114894144,66.6971637694,38097.0,38097.0,1,26.5010351967,4.66024472794,0.62860638
1514,HUBBARD//MN,0.183339023558,8787.0,16.6418583336,8.2,6.4,93.5306697774,60.9032602886,27057.0,27057.0,1,33.590125186,16.9482668525,0.71575719
1515,MARION//SC,0.18339187155,11958.0,8.10479879166,16.7,7.6,39.4068455249,42.2400294741,45067.0,45067.0,0,-21.7204754871,-29.8252742787,0.61902755
1516,PICKAWAY//OH,0.183401849949,19460.0,23.9762972934,8.2,4.5,93.2478103158,43.5526145063,39129.0,39129.0,1,42.6513815403,18.6750842469,0.55523133
1517,MOUNTRAIL//ND,0.183406113537,3206.0,17.193667616,17.8,2.5,64.4547714255,62.3075621722,38061.0,38061.0,1,33.424794213,16.231126597,0.51364869
1518,CHRISTIAN//IL,0.183472489831,14013.0,19.6549252158,7.9,6.2,95.1783625731,44.0109912986,17021.0,17021.0,1,42.7171783148,23.062253099,0.5477463
1519,CRANE//TX,0.183527885863,1542.0,-1.17539957434,18.5,6.9,35.665961945,41.8420144878,48103.0,48103.0,1,54.1636495293,55.3390491037,0.44130969
1520,SUSQUEHANNA//PA,0.183564933951,17487.0,21.4256541643,11.3,4.9,96.5588047865,42.3860677083,42115.0,42115.0,1,42.8645833333,21.438929169,0.5356003
1521,RUSK//TX,0.183743592632,17753.0,5.44097283635,21.8,5.8,64.949398582,46.6561827512,48401.0,48401.0,1,56.5441718437,51.1031990074,0.48142591
1522,DARE//NC,0.18391342107,14969.0,5.96959256205,17.7,6.3,87.8151622064,67.6717438607,37055.0,37055.0,1,22.1158398653,16.1462473033,0.67336768
1523,YORK//NE,0.18397573162,5604.0,0.598741250666,8.7,2.4,91.9638336347,61.4746249601,31185.0,31185.0,1,56.0262148338,55.4274735831,0.60622716
1524,TUCKER//WV,0.184053156146,3010.0,10.9848832748,9.8,4.6,97.6764199656,34.7542242704,54093.0,54093.0,1,52.1651270208,41.180243746,0.55513799
1525,CHEROKEE//IA,0.184101987252,5334.0,24.3835426677,7.8,2.5,94.3474225934,55.0035319049,19035.0,19035.0,1,40.607824119,16.2242814512,0.68270653
1526,MONROE//MS,0.184342709529,13936.0,13.3791584874,14.0,5.3,67.1789910159,43.3118174806,28095.0,28095.0,1,29.2883847665,15.9092262791,0.60993034
1527,BEAUREGARD//LA,0.184610705596,13152.0,7.05011574629,17.0,5.5,79.6216111862,41.1557936143,22011.0,22011.0,1,65.2938055445,58.2436897982,0.53403932
1528,EMMET//IA,0.184800965018,4145.0,28.6295010746,10.4,4.9,88.4945043864,54.7384155456,19063.0,19063.0,1,37.4973443807,8.86784330607,0.63683361
1529,OTTER TAIL//MN,0.185217535979,24042.0,14.7188941632,6.1,3.8,93.7159847681,60.8320575442,27111.0,27111.0,1,35.9311113864,21.2122172232,0.71389765
1530,FALLS//TX,0.18530823182,5418.0,9.20702102841,20.6,4.4,51.8150488225,38.5497781127,48145.0,48145.0,1,33.5626911315,24.3556701031,0.41321161
1531,FAYETTE//WV,0.185352877922,17669.0,18.6044517796,13.9,6.9,92.4847366803,35.8285504946,54019.0,54019.0,1,39.6194113386,21.0149595591,0.38904148
1532,PERRY//OH,0.185486211901,13780.0,35.9536821718,10.2,5.8,97.174184594,39.4518616801,39127.0,39127.0,1,40.3222502902,4.36856811831,0.55583441
1533,PIKE//IL,0.186011681893,6677.0,22.7296392444,10.3,4.7,95.6516352825,44.5185382769,17149.0,17149.0,1,58.1523196567,35.4226804124,0.58069819
1534,MONROE//AR,0.186087990488,3364.0,3.62571607019,15.5,4.7,55.1277064696,35.7156048015,5095.0,5095.0,1,3.68763557484,0.061919504644,0.5348435
1535,FOREST//PA,0.186423505572,1974.0,22.8527744813,6.8,7.4,64.1340192587,26.9384492406,42053.0,42053.0,1,43.953294412,21.1005199307,0.33463126
1536,WALDO//ME,0.186582188536,16888.0,10.3817586026,11.7,3.7,96.0668103448,58.1196883853,23027.0,23027.0,0,-0.282810428635,-10.6645690313,0.688097
1537,PALO PINTO//TX,0.186612384018,10562.0,4.3018151813,23.6,5.2,76.0896816017,44.5826026888,48363.0,48363.0,1,64.0982800983,59.796464917,0.46471828
1538,BRAZOS//TX,0.186641934523,73858.0,-11.6424200495,15.0,3.2,57.5984917499,65.0139044456,48041.0,48041.0,1,23.6552789388,35.2976989883,0.39539027
1539,CLAY//IN,0.186950217496,10345.0,23.8121728705,12.0,4.0,96.7173798996,42.4239100631,18021.0,18021.0,1,55.2624567013,31.4502838308,0.52761531
1540,WEBB//TX,0.187001205719,69668.0,2.39363294476,31.9,4.4,3.66228428382,40.8691515559,48479.0,48479.0,0,-51.6134137549,-54.0070466997,0.35751528
1541,DELTA//CO,0.187012771604,12058.0,5.56554103084,17.9,4.2,82.0679155358,51.378423084,8029.0,8029.0,1,45.2313786687,39.6658376379,0.67848706
1542,SUTTON//TX,0.187162162162,1480.0,4.0866471913,28.3,6.7,39.9394856278,46.4342313788,48435.0,48435.0,1,53.851590106,49.7649429147,0.57430428
1543,WAGONER//OK,0.18716304823,27452.0,6.34261973066,14.0,4.6,72.6558873075,54.286909243,40145.0,40145.0,1,52.02585931,45.6832395793,0.52596706
1544,WHITE//AR,0.18718541695,29404.0,4.13254115347,14.4,4.2,88.610475464,45.6727417588,5145.0,5145.0,1,57.8521729627,53.7196318093,0.45138142
1545,MERCER//ND,0.187312823305,3673.0,23.0443413993,9.8,4.3,93.8723502838,60.3581800581,38057.0,38057.0,1,67.9009640666,44.8566226673,0.66877532
1546,CASS//IA,0.187335526316,6080.0,20.8956832921,6.1,2.3,95.8793230316,47.5317642158,19029.0,19029.0,1,39.8157335223,18.9200502302,0.68714768
1547,EMMONS//ND,0.187617260788,1599.0,18.1448205945,8.1,4.2,96.7946866878,46.9037155414,38029.0,38029.0,1,74.3746809597,56.2298603652,0.6830532
1548,YADKIN//NC,0.187650465222,15369.0,10.0655296498,14.8,4.2,85.0201469543,43.2115079665,37197.0,37197.0,1,61.5273775216,51.4618478718,0.5953384
1549,CASS//TX,0.187751261654,11691.0,10.2037555995,20.0,7.1,76.6222632551,41.5843911613,48067.0,48067.0,1,59.7277270377,49.5239714383,0.50618768
